ability,abilities,academy,academies,2
loss,losses,species,species,2
loss,losses,story,stories,2
loss,losses,strategy,strategies,2
loss,losses,success,successes,2
loss,losses,technology,technologies,2
loss,losses,theory,theories,2
loss,losses,university,universities,2
loss,losses,variety,varieties,2
loss,losses,wife,wives,2
loss,losses,woman,women,2
majority,majorities,memory,memories,2
majority,majorities,opportunity,opportunities,2
majority,majorities,policy,policies,2
majority,majorities,property,properties,2
majority,majorities,responsibility,responsibilities,2
majority,majorities,safety,safeties,2
majority,majorities,secretary,secretaries,2
majority,majorities,security,securities,2
majority,majorities,series,series,2
majority,majorities,society,societies,2
majority,majorities,species,species,2
majority,majorities,story,stories,2
majority,majorities,strategy,strategies,2
majority,majorities,success,successes,2
majority,majorities,technology,technologies,2
majority,majorities,theory,theories,2
majority,majorities,university,universities,2
majority,majorities,variety,varieties,2
majority,majorities,wife,wives,2
majority,majorities,woman,women,2
memory,memories,opportunity,opportunities,2
memory,memories,policy,policies,2
memory,memories,property,properties,2
memory,memories,responsibility,responsibilities,2
memory,memories,safety,safeties,2
memory,memories,secretary,secretaries,2
memory,memories,security,securities,2
memory,memories,series,series,2
memory,memories,society,societies,2
memory,memories,species,species,2
memory,memories,story,stories,2
memory,memories,strategy,strategies,2
memory,memories,success,successes,2
memory,memories,technology,technologies,2
memory,memories,theory,theories,2
memory,memories,university,universities,2
memory,memories,variety,varieties,2
memory,memories,wife,wives,2
memory,memories,woman,women,2
opportunity,opportunities,policy,policies,2
opportunity,opportunities,property,properties,2
opportunity,opportunities,responsibility,responsibilities,2
opportunity,opportunities,safety,safeties,2
opportunity,opportunities,secretary,secretaries,2
opportunity,opportunities,security,securities,2
opportunity,opportunities,series,series,2
opportunity,opportunities,society,societies,2
opportunity,opportunities,species,species,2
opportunity,opportunities,story,stories,2
opportunity,opportunities,strategy,strategies,2
opportunity,opportunities,success,successes,2
opportunity,opportunities,technology,technologies,2
opportunity,opportunities,theory,theories,2
opportunity,opportunities,university,universities,2
opportunity,opportunities,variety,varieties,2
opportunity,opportunities,wife,wives,2
opportunity,opportunities,woman,women,2
policy,policies,property,properties,2
policy,policies,responsibility,responsibilities,2
policy,policies,safety,safeties,2
policy,policies,secretary,secretaries,2
policy,policies,security,securities,2
policy,policies,series,series,2
policy,policies,society,societies,2
policy,policies,species,species,2
policy,policies,story,stories,2
policy,policies,strategy,strategies,2
policy,policies,success,successes,2
policy,policies,technology,technologies,2
policy,policies,theory,theories,2
policy,policies,university,universities,2
policy,policies,variety,varieties,2
policy,policies,wife,wives,2
policy,policies,woman,women,2
property,properties,responsibility,responsibilities,2
property,properties,safety,safeties,2
property,properties,secretary,secretaries,2
property,properties,security,securities,2
property,properties,series,series,2
property,properties,society,societies,2
property,properties,species,species,2
property,properties,story,stories,2
property,properties,strategy,strategies,2
property,properties,success,successes,2
property,properties,technology,technologies,2
property,properties,theory,theories,2
property,properties,university,universities,2
property,properties,variety,varieties,2
property,properties,wife,wives,2
property,properties,woman,women,2
responsibility,responsibilities,safety,safeties,2
responsibility,responsibilities,secretary,secretaries,2
responsibility,responsibilities,security,securities,2
responsibility,responsibilities,series,series,2
responsibility,responsibilities,society,societies,2
responsibility,responsibilities,species,species,2
responsibility,responsibilities,story,stories,2
responsibility,responsibilities,strategy,strategies,2
responsibility,responsibilities,success,successes,2
responsibility,responsibilities,technology,technologies,2
responsibility,responsibilities,theory,theories,2
responsibility,responsibilities,university,universities,2
responsibility,responsibilities,variety,varieties,2
responsibility,responsibilities,wife,wives,2
responsibility,responsibilities,woman,women,2
safety,safeties,secretary,secretaries,2
safety,safeties,security,securities,2
safety,safeties,series,series,2
safety,safeties,society,societies,2
safety,safeties,species,species,2
safety,safeties,story,stories,2
safety,safeties,strategy,strategies,2
safety,safeties,success,successes,2
safety,safeties,technology,technologies,2
safety,safeties,theory,theories,2
safety,safeties,university,universities,2
safety,safeties,variety,varieties,2
safety,safeties,wife,wives,2
safety,safeties,woman,women,2
secretary,secretaries,security,securities,2
secretary,secretaries,series,series,2
secretary,secretaries,society,societies,2
secretary,secretaries,species,species,2
secretary,secretaries,story,stories,2
secretary,secretaries,strategy,strategies,2
secretary,secretaries,success,successes,2
secretary,secretaries,technology,technologies,2
secretary,secretaries,theory,theories,2
secretary,secretaries,university,universities,2
secretary,secretaries,variety,varieties,2
secretary,secretaries,wife,wives,2
secretary,secretaries,woman,women,2
security,securities,series,series,2
security,securities,society,societies,2
security,securities,species,species,2
security,securities,story,stories,2
security,securities,strategy,strategies,2
security,securities,success,successes,2
security,securities,technology,technologies,2
security,securities,theory,theories,2
security,securities,university,universities,2
security,securities,variety,varieties,2
security,securities,wife,wives,2
security,securities,woman,women,2
series,series,society,societies,2
series,series,species,species,2
series,series,story,stories,2
series,series,strategy,strategies,2
series,series,success,successes,2
series,series,technology,technologies,2
series,series,theory,theories,2
series,series,university,universities,2
series,series,variety,varieties,2
series,series,wife,wives,2
series,series,woman,women,2
society,societies,species,species,2
society,societies,story,stories,2
society,societies,strategy,strategies,2
society,societies,success,successes,2
society,societies,technology,technologies,2
society,societies,theory,theories,2
society,societies,university,universities,2
society,societies,variety,varieties,2
society,societies,wife,wives,2
society,societies,woman,women,2
species,species,story,stories,2
species,species,strategy,strategies,2
species,species,success,successes,2
species,species,technology,technologies,2
species,species,theory,theories,2
species,species,university,universities,2
species,species,variety,varieties,2
species,species,wife,wives,2
species,species,woman,women,2
story,stories,strategy,strategies,2
story,stories,success,successes,2
story,stories,technology,technologies,2
story,stories,theory,theories,2
story,stories,university,universities,2
story,stories,variety,varieties,2
story,stories,wife,wives,2
story,stories,woman,women,2
strategy,strategies,success,successes,2
strategy,strategies,technology,technologies,2
strategy,strategies,theory,theories,2
strategy,strategies,university,universities,2
strategy,strategies,variety,varieties,2
strategy,strategies,wife,wives,2
strategy,strategies,woman,women,2
success,successes,technology,technologies,2
success,successes,theory,theories,2
success,successes,university,universities,2
success,successes,variety,varieties,2
success,successes,wife,wives,2
success,successes,woman,women,2
technology,technologies,theory,theories,2
technology,technologies,university,universities,2
technology,technologies,variety,varieties,2
technology,technologies,wife,wives,2
technology,technologies,woman,women,2
theory,theories,university,universities,2
theory,theories,variety,varieties,2
theory,theories,wife,wives,2
theory,theories,woman,women,2
university,universities,variety,varieties,2
university,universities,wife,wives,2
university,universities,woman,women,2
variety,varieties,wife,wives,2
variety,varieties,woman,women,2
wife,wives,woman,women,2
