album,albums,application,applications,1
science,sciences,student,students,1
science,sciences,system,systems,1
science,sciences,thing,things,1
science,sciences,town,towns,1
science,sciences,user,users,1
science,sciences,version,versions,1
science,sciences,village,villages,1
science,sciences,website,websites,1
science,sciences,week,weeks,1
science,sciences,year,years,1
solution,solutions,song,songs,1
solution,solutions,street,streets,1
solution,solutions,student,students,1
solution,solutions,system,systems,1
solution,solutions,thing,things,1
solution,solutions,town,towns,1
solution,solutions,user,users,1
solution,solutions,version,versions,1
solution,solutions,village,villages,1
solution,solutions,website,websites,1
solution,solutions,week,weeks,1
solution,solutions,year,years,1
song,songs,street,streets,1
song,songs,student,students,1
song,songs,system,systems,1
song,songs,thing,things,1
song,songs,town,towns,1
song,songs,user,users,1
song,songs,version,versions,1
song,songs,village,villages,1
song,songs,website,websites,1
song,songs,week,weeks,1
song,songs,year,years,1
street,streets,student,students,1
street,streets,system,systems,1
street,streets,thing,things,1
street,streets,town,towns,1
street,streets,user,users,1
street,streets,version,versions,1
street,streets,village,villages,1
street,streets,website,websites,1
street,streets,week,weeks,1
street,streets,year,years,1
student,students,system,systems,1
student,students,thing,things,1
student,students,town,towns,1
student,students,user,users,1
student,students,version,versions,1
student,students,village,villages,1
student,students,website,websites,1
student,students,week,weeks,1
student,students,year,years,1
system,systems,thing,things,1
system,systems,town,towns,1
system,systems,user,users,1
system,systems,version,versions,1
system,systems,village,villages,1
system,systems,website,websites,1
system,systems,week,weeks,1
system,systems,year,years,1
thing,things,town,towns,1
thing,things,user,users,1
thing,things,version,versions,1
thing,things,village,villages,1
thing,things,website,websites,1
thing,things,week,weeks,1
thing,things,year,years,1
town,towns,user,users,1
town,towns,version,versions,1
town,towns,village,villages,1
town,towns,website,websites,1
town,towns,week,weeks,1
town,towns,year,years,1
user,users,version,versions,1
user,users,village,villages,1
user,users,website,websites,1
user,users,week,weeks,1
user,users,year,years,1
version,versions,village,villages,1
version,versions,website,websites,1
version,versions,week,weeks,1
version,versions,year,years,1
village,villages,website,websites,1
village,villages,week,weeks,1
village,villages,year,years,1
website,websites,week,weeks,1
website,websites,year,years,1
week,weeks,year,years,1
