after,before,ahead,behind,40
interior,exterior,outward,upward,40
interior,exterior,over,under,40
interior,exterior,previously,subsequently,40
interior,exterior,proceed,retreat,40
interior,exterior,rise,sink,40
interior,exterior,south,north,40
interior,exterior,southeast,southwest,40
interior,exterior,submerge,emerge,40
interior,exterior,top,bottom,40
interior,exterior,toward,away,40
interior,exterior,true,false,40
interior,exterior,under,over,40
interior,exterior,up,down,40
interior,exterior,uphill,downhill,40
interior,exterior,west,east,40
internal,external,inverse,reverse,40
internal,external,mortal,immortal,40
internal,external,occupied,vacant,40
internal,external,off,on,40
internal,external,out,in,40
internal,external,outward,upward,40
internal,external,over,under,40
internal,external,previously,subsequently,40
internal,external,proceed,retreat,40
internal,external,rise,sink,40
internal,external,south,north,40
internal,external,southeast,southwest,40
internal,external,submerge,emerge,40
internal,external,top,bottom,40
internal,external,toward,away,40
internal,external,true,false,40
internal,external,under,over,40
internal,external,up,down,40
internal,external,uphill,downhill,40
internal,external,west,east,40
inverse,reverse,mortal,immortal,40
inverse,reverse,occupied,vacant,40
inverse,reverse,off,on,40
inverse,reverse,out,in,40
inverse,reverse,outward,upward,40
inverse,reverse,over,under,40
inverse,reverse,previously,subsequently,40
inverse,reverse,proceed,retreat,40
inverse,reverse,rise,sink,40
inverse,reverse,south,north,40
inverse,reverse,southeast,southwest,40
inverse,reverse,submerge,emerge,40
inverse,reverse,top,bottom,40
inverse,reverse,toward,away,40
inverse,reverse,true,false,40
inverse,reverse,under,over,40
inverse,reverse,up,down,40
inverse,reverse,uphill,downhill,40
inverse,reverse,west,east,40
mortal,immortal,occupied,vacant,40
mortal,immortal,off,on,40
mortal,immortal,out,in,40
mortal,immortal,outward,upward,40
mortal,immortal,over,under,40
mortal,immortal,previously,subsequently,40
mortal,immortal,proceed,retreat,40
mortal,immortal,rise,sink,40
mortal,immortal,south,north,40
mortal,immortal,southeast,southwest,40
mortal,immortal,submerge,emerge,40
mortal,immortal,top,bottom,40
mortal,immortal,toward,away,40
mortal,immortal,true,false,40
mortal,immortal,under,over,40
mortal,immortal,up,down,40
mortal,immortal,uphill,downhill,40
mortal,immortal,west,east,40
occupied,vacant,off,on,40
occupied,vacant,out,in,40
occupied,vacant,outward,upward,40
occupied,vacant,over,under,40
occupied,vacant,previously,subsequently,40
occupied,vacant,proceed,retreat,40
occupied,vacant,rise,sink,40
occupied,vacant,south,north,40
occupied,vacant,southeast,southwest,40
occupied,vacant,submerge,emerge,40
occupied,vacant,top,bottom,40
occupied,vacant,toward,away,40
occupied,vacant,true,false,40
occupied,vacant,under,over,40
occupied,vacant,up,down,40
occupied,vacant,uphill,downhill,40
occupied,vacant,west,east,40
off,on,out,in,40
off,on,outward,upward,40
off,on,over,under,40
off,on,previously,subsequently,40
off,on,proceed,retreat,40
off,on,rise,sink,40
off,on,south,north,40
off,on,southeast,southwest,40
off,on,submerge,emerge,40
off,on,top,bottom,40
off,on,toward,away,40
off,on,true,false,40
off,on,under,over,40
off,on,up,down,40
off,on,uphill,downhill,40
off,on,west,east,40
out,in,outward,upward,40
out,in,over,under,40
out,in,previously,subsequently,40
out,in,proceed,retreat,40
out,in,rise,sink,40
out,in,south,north,40
out,in,southeast,southwest,40
out,in,submerge,emerge,40
out,in,top,bottom,40
out,in,toward,away,40
out,in,true,false,40
out,in,under,over,40
out,in,up,down,40
out,in,uphill,downhill,40
out,in,west,east,40
outward,upward,over,under,40
outward,upward,previously,subsequently,40
outward,upward,proceed,retreat,40
outward,upward,rise,sink,40
outward,upward,south,north,40
outward,upward,southeast,southwest,40
outward,upward,submerge,emerge,40
outward,upward,top,bottom,40
outward,upward,toward,away,40
outward,upward,true,false,40
outward,upward,under,over,40
outward,upward,up,down,40
outward,upward,uphill,downhill,40
outward,upward,west,east,40
over,under,previously,subsequently,40
over,under,proceed,retreat,40
over,under,rise,sink,40
over,under,south,north,40
over,under,southeast,southwest,40
over,under,submerge,emerge,40
over,under,top,bottom,40
over,under,toward,away,40
over,under,true,false,40
over,under,under,over,40
over,under,up,down,40
over,under,uphill,downhill,40
over,under,west,east,40
previously,subsequently,proceed,retreat,40
previously,subsequently,rise,sink,40
previously,subsequently,south,north,40
previously,subsequently,southeast,southwest,40
previously,subsequently,submerge,emerge,40
previously,subsequently,top,bottom,40
previously,subsequently,toward,away,40
previously,subsequently,true,false,40
previously,subsequently,under,over,40
previously,subsequently,up,down,40
previously,subsequently,uphill,downhill,40
previously,subsequently,west,east,40
proceed,retreat,rise,sink,40
proceed,retreat,south,north,40
proceed,retreat,southeast,southwest,40
proceed,retreat,submerge,emerge,40
proceed,retreat,top,bottom,40
proceed,retreat,toward,away,40
proceed,retreat,true,false,40
proceed,retreat,under,over,40
proceed,retreat,up,down,40
proceed,retreat,uphill,downhill,40
proceed,retreat,west,east,40
rise,sink,south,north,40
rise,sink,southeast,southwest,40
rise,sink,submerge,emerge,40
rise,sink,top,bottom,40
rise,sink,toward,away,40
rise,sink,true,false,40
rise,sink,under,over,40
rise,sink,up,down,40
rise,sink,uphill,downhill,40
rise,sink,west,east,40
south,north,southeast,southwest,40
south,north,submerge,emerge,40
south,north,top,bottom,40
south,north,toward,away,40
south,north,true,false,40
south,north,under,over,40
south,north,up,down,40
south,north,uphill,downhill,40
south,north,west,east,40
southeast,southwest,submerge,emerge,40
southeast,southwest,top,bottom,40
southeast,southwest,toward,away,40
southeast,southwest,true,false,40
southeast,southwest,under,over,40
southeast,southwest,up,down,40
southeast,southwest,uphill,downhill,40
southeast,southwest,west,east,40
submerge,emerge,top,bottom,40
submerge,emerge,toward,away,40
submerge,emerge,true,false,40
submerge,emerge,under,over,40
submerge,emerge,up,down,40
submerge,emerge,uphill,downhill,40
submerge,emerge,west,east,40
top,bottom,toward,away,40
top,bottom,true,false,40
top,bottom,under,over,40
top,bottom,up,down,40
top,bottom,uphill,downhill,40
top,bottom,west,east,40
toward,away,true,false,40
toward,away,under,over,40
toward,away,up,down,40
toward,away,uphill,downhill,40
toward,away,west,east,40
true,false,under,over,40
true,false,up,down,40
true,false,uphill,downhill,40
true,false,west,east,40
under,over,up,down,40
under,over,uphill,downhill,40
under,over,west,east,40
up,down,uphill,downhill,40
up,down,west,east,40
uphill,downhill,west,east,40
