adding,added,agreeing,agreed,9
involving,involved,locating,located,9
involving,involved,losing,lost,9
involving,involved,managing,managed,9
involving,involved,marrying,married,9
involving,involved,operating,operated,9
involving,involved,performing,performed,9
involving,involved,proposing,proposed,9
involving,involved,providing,provided,9
involving,involved,publishing,published,9
involving,involved,receiving,received,9
involving,involved,reducing,reduced,9
involving,involved,relating,related,9
involving,involved,remaining,remained,9
involving,involved,replacing,replaced,9
involving,involved,representing,represented,9
involving,involved,requiring,required,9
involving,involved,sending,sent,9
involving,involved,spending,spent,9
involving,involved,suffering,suffered,9
involving,involved,teaching,taught,9
involving,involved,telling,told,9
involving,involved,understanding,understood,9
involving,involved,uniting,united,9
locating,located,losing,lost,9
locating,located,managing,managed,9
locating,located,marrying,married,9
locating,located,operating,operated,9
locating,located,performing,performed,9
locating,located,proposing,proposed,9
locating,located,providing,provided,9
locating,located,publishing,published,9
locating,located,receiving,received,9
locating,located,reducing,reduced,9
locating,located,relating,related,9
locating,located,remaining,remained,9
locating,located,replacing,replaced,9
locating,located,representing,represented,9
locating,located,requiring,required,9
locating,located,sending,sent,9
locating,located,spending,spent,9
locating,located,suffering,suffered,9
locating,located,teaching,taught,9
locating,located,telling,told,9
locating,located,understanding,understood,9
locating,located,uniting,united,9
losing,lost,managing,managed,9
losing,lost,marrying,married,9
losing,lost,operating,operated,9
losing,lost,performing,performed,9
losing,lost,proposing,proposed,9
losing,lost,providing,provided,9
losing,lost,publishing,published,9
losing,lost,receiving,received,9
losing,lost,reducing,reduced,9
losing,lost,relating,related,9
losing,lost,remaining,remained,9
losing,lost,replacing,replaced,9
losing,lost,representing,represented,9
losing,lost,requiring,required,9
losing,lost,sending,sent,9
losing,lost,spending,spent,9
losing,lost,suffering,suffered,9
losing,lost,teaching,taught,9
losing,lost,telling,told,9
losing,lost,understanding,understood,9
losing,lost,uniting,united,9
managing,managed,marrying,married,9
managing,managed,operating,operated,9
managing,managed,performing,performed,9
managing,managed,proposing,proposed,9
managing,managed,providing,provided,9
managing,managed,publishing,published,9
managing,managed,receiving,received,9
managing,managed,reducing,reduced,9
managing,managed,relating,related,9
managing,managed,remaining,remained,9
managing,managed,replacing,replaced,9
managing,managed,representing,represented,9
managing,managed,requiring,required,9
managing,managed,sending,sent,9
managing,managed,spending,spent,9
managing,managed,suffering,suffered,9
managing,managed,teaching,taught,9
managing,managed,telling,told,9
managing,managed,understanding,understood,9
managing,managed,uniting,united,9
marrying,married,operating,operated,9
marrying,married,performing,performed,9
marrying,married,proposing,proposed,9
marrying,married,providing,provided,9
marrying,married,publishing,published,9
marrying,married,receiving,received,9
marrying,married,reducing,reduced,9
marrying,married,relating,related,9
marrying,married,remaining,remained,9
marrying,married,replacing,replaced,9
marrying,married,representing,represented,9
marrying,married,requiring,required,9
marrying,married,sending,sent,9
marrying,married,spending,spent,9
marrying,married,suffering,suffered,9
marrying,married,teaching,taught,9
marrying,married,telling,told,9
marrying,married,understanding,understood,9
marrying,married,uniting,united,9
operating,operated,performing,performed,9
operating,operated,proposing,proposed,9
operating,operated,providing,provided,9
operating,operated,publishing,published,9
operating,operated,receiving,received,9
operating,operated,reducing,reduced,9
operating,operated,relating,related,9
operating,operated,remaining,remained,9
operating,operated,replacing,replaced,9
operating,operated,representing,represented,9
operating,operated,requiring,required,9
operating,operated,sending,sent,9
operating,operated,spending,spent,9
operating,operated,suffering,suffered,9
operating,operated,teaching,taught,9
operating,operated,telling,told,9
operating,operated,understanding,understood,9
operating,operated,uniting,united,9
performing,performed,proposing,proposed,9
performing,performed,providing,provided,9
performing,performed,publishing,published,9
performing,performed,receiving,received,9
performing,performed,reducing,reduced,9
performing,performed,relating,related,9
performing,performed,remaining,remained,9
performing,performed,replacing,replaced,9
performing,performed,representing,represented,9
performing,performed,requiring,required,9
performing,performed,sending,sent,9
performing,performed,spending,spent,9
performing,performed,suffering,suffered,9
performing,performed,teaching,taught,9
performing,performed,telling,told,9
performing,performed,understanding,understood,9
performing,performed,uniting,united,9
proposing,proposed,providing,provided,9
proposing,proposed,publishing,published,9
proposing,proposed,receiving,received,9
proposing,proposed,reducing,reduced,9
proposing,proposed,relating,related,9
proposing,proposed,remaining,remained,9
proposing,proposed,replacing,replaced,9
proposing,proposed,representing,represented,9
proposing,proposed,requiring,required,9
proposing,proposed,sending,sent,9
proposing,proposed,spending,spent,9
proposing,proposed,suffering,suffered,9
proposing,proposed,teaching,taught,9
proposing,proposed,telling,told,9
proposing,proposed,understanding,understood,9
proposing,proposed,uniting,united,9
providing,provided,publishing,published,9
providing,provided,receiving,received,9
providing,provided,reducing,reduced,9
providing,provided,relating,related,9
providing,provided,remaining,remained,9
providing,provided,replacing,replaced,9
providing,provided,representing,represented,9
providing,provided,requiring,required,9
providing,provided,sending,sent,9
providing,provided,spending,spent,9
providing,provided,suffering,suffered,9
providing,provided,teaching,taught,9
providing,provided,telling,told,9
providing,provided,understanding,understood,9
providing,provided,uniting,united,9
publishing,published,receiving,received,9
publishing,published,reducing,reduced,9
publishing,published,relating,related,9
publishing,published,remaining,remained,9
publishing,published,replacing,replaced,9
publishing,published,representing,represented,9
publishing,published,requiring,required,9
publishing,published,sending,sent,9
publishing,published,spending,spent,9
publishing,published,suffering,suffered,9
publishing,published,teaching,taught,9
publishing,published,telling,told,9
publishing,published,understanding,understood,9
publishing,published,uniting,united,9
receiving,received,reducing,reduced,9
receiving,received,relating,related,9
receiving,received,remaining,remained,9
receiving,received,replacing,replaced,9
receiving,received,representing,represented,9
receiving,received,requiring,required,9
receiving,received,sending,sent,9
receiving,received,spending,spent,9
receiving,received,suffering,suffered,9
receiving,received,teaching,taught,9
receiving,received,telling,told,9
receiving,received,understanding,understood,9
receiving,received,uniting,united,9
reducing,reduced,relating,related,9
reducing,reduced,remaining,remained,9
reducing,reduced,replacing,replaced,9
reducing,reduced,representing,represented,9
reducing,reduced,requiring,required,9
reducing,reduced,sending,sent,9
reducing,reduced,spending,spent,9
reducing,reduced,suffering,suffered,9
reducing,reduced,teaching,taught,9
reducing,reduced,telling,told,9
reducing,reduced,understanding,understood,9
reducing,reduced,uniting,united,9
relating,related,remaining,remained,9
relating,related,replacing,replaced,9
relating,related,representing,represented,9
relating,related,requiring,required,9
relating,related,sending,sent,9
relating,related,spending,spent,9
relating,related,suffering,suffered,9
relating,related,teaching,taught,9
relating,related,telling,told,9
relating,related,understanding,understood,9
relating,related,uniting,united,9
remaining,remained,replacing,replaced,9
remaining,remained,representing,represented,9
remaining,remained,requiring,required,9
remaining,remained,sending,sent,9
remaining,remained,spending,spent,9
remaining,remained,suffering,suffered,9
remaining,remained,teaching,taught,9
remaining,remained,telling,told,9
remaining,remained,understanding,understood,9
remaining,remained,uniting,united,9
replacing,replaced,representing,represented,9
replacing,replaced,requiring,required,9
replacing,replaced,sending,sent,9
replacing,replaced,spending,spent,9
replacing,replaced,suffering,suffered,9
replacing,replaced,teaching,taught,9
replacing,replaced,telling,told,9
replacing,replaced,understanding,understood,9
replacing,replaced,uniting,united,9
representing,represented,requiring,required,9
representing,represented,sending,sent,9
representing,represented,spending,spent,9
representing,represented,suffering,suffered,9
representing,represented,teaching,taught,9
representing,represented,telling,told,9
representing,represented,understanding,understood,9
representing,represented,uniting,united,9
requiring,required,sending,sent,9
requiring,required,spending,spent,9
requiring,required,suffering,suffered,9
requiring,required,teaching,taught,9
requiring,required,telling,told,9
requiring,required,understanding,understood,9
requiring,required,uniting,united,9
sending,sent,spending,spent,9
sending,sent,suffering,suffered,9
sending,sent,teaching,taught,9
sending,sent,telling,told,9
sending,sent,understanding,understood,9
sending,sent,uniting,united,9
spending,spent,suffering,suffered,9
spending,spent,teaching,taught,9
spending,spent,telling,told,9
spending,spent,understanding,understood,9
spending,spent,uniting,united,9
suffering,suffered,teaching,taught,9
suffering,suffered,telling,told,9
suffering,suffered,understanding,understood,9
suffering,suffered,uniting,united,9
teaching,taught,telling,told,9
teaching,taught,understanding,understood,9
teaching,taught,uniting,united,9
telling,told,understanding,understood,9
telling,told,uniting,united,9
understanding,understood,uniting,united,9
