apartment,bedroom,bird,feathers
poem,stanza,shirt,button
poem,stanza,sonata,movement
poem,stanza,staircase,step
poem,stanza,sword,blade
poem,stanza,table,tabletop
poem,stanza,teapot,spout
poem,stanza,telephone,receiver
poem,stanza,tonne,kilogram
poem,stanza,torso,chest
poem,stanza,tripod,leg
poem,stanza,typewriter,keyboard
poem,stanza,window,pane
poem,stanza,womb,cervix
pub,bar,radio,receiver
pub,bar,railcar,suspension
pub,bar,seafront,harbor
pub,bar,shilling,pence
pub,bar,shirt,button
pub,bar,sonata,movement
pub,bar,staircase,step
pub,bar,sword,blade
pub,bar,table,tabletop
pub,bar,teapot,spout
pub,bar,telephone,receiver
pub,bar,tonne,kilogram
pub,bar,torso,chest
pub,bar,tripod,leg
pub,bar,typewriter,keyboard
pub,bar,window,pane
pub,bar,womb,cervix
radio,receiver,railcar,suspension
radio,receiver,seafront,harbor
radio,receiver,shilling,pence
radio,receiver,shirt,button
radio,receiver,sonata,movement
radio,receiver,staircase,step
radio,receiver,sword,blade
radio,receiver,table,tabletop
radio,receiver,teapot,spout
radio,receiver,telephone,receiver
radio,receiver,tonne,kilogram
radio,receiver,torso,chest
radio,receiver,tripod,leg
radio,receiver,typewriter,keyboard
radio,receiver,window,pane
radio,receiver,womb,cervix
railcar,suspension,seafront,harbor
railcar,suspension,shilling,pence
railcar,suspension,shirt,button
railcar,suspension,sonata,movement
railcar,suspension,staircase,step
railcar,suspension,sword,blade
railcar,suspension,table,tabletop
railcar,suspension,teapot,spout
railcar,suspension,telephone,receiver
railcar,suspension,tonne,kilogram
railcar,suspension,torso,chest
railcar,suspension,tripod,leg
railcar,suspension,typewriter,keyboard
railcar,suspension,window,pane
railcar,suspension,womb,cervix
seafront,harbor,shilling,pence
seafront,harbor,shirt,button
seafront,harbor,sonata,movement
seafront,harbor,staircase,step
seafront,harbor,sword,blade
seafront,harbor,table,tabletop
seafront,harbor,teapot,spout
seafront,harbor,telephone,receiver
seafront,harbor,tonne,kilogram
seafront,harbor,torso,chest
seafront,harbor,tripod,leg
seafront,harbor,typewriter,keyboard
seafront,harbor,window,pane
seafront,harbor,womb,cervix
shilling,pence,shirt,button
shilling,pence,sonata,movement
shilling,pence,staircase,step
shilling,pence,sword,blade
shilling,pence,table,tabletop
shilling,pence,teapot,spout
shilling,pence,telephone,receiver
shilling,pence,tonne,kilogram
shilling,pence,torso,chest
shilling,pence,tripod,leg
shilling,pence,typewriter,keyboard
shilling,pence,window,pane
shilling,pence,womb,cervix
shirt,button,sonata,movement
shirt,button,staircase,step
shirt,button,sword,blade
shirt,button,table,tabletop
shirt,button,teapot,spout
shirt,button,telephone,receiver
shirt,button,tonne,kilogram
shirt,button,torso,chest
shirt,button,tripod,leg
shirt,button,typewriter,keyboard
shirt,button,window,pane
shirt,button,womb,cervix
sonata,movement,staircase,step
sonata,movement,sword,blade
sonata,movement,table,tabletop
sonata,movement,teapot,spout
sonata,movement,telephone,receiver
sonata,movement,tonne,kilogram
sonata,movement,torso,chest
sonata,movement,tripod,leg
sonata,movement,typewriter,keyboard
sonata,movement,window,pane
sonata,movement,womb,cervix
staircase,step,sword,blade
staircase,step,table,tabletop
staircase,step,teapot,spout
staircase,step,telephone,receiver
staircase,step,tonne,kilogram
staircase,step,torso,chest
staircase,step,tripod,leg
staircase,step,typewriter,keyboard
staircase,step,window,pane
staircase,step,womb,cervix
sword,blade,table,tabletop
sword,blade,teapot,spout
sword,blade,telephone,receiver
sword,blade,tonne,kilogram
sword,blade,torso,chest
sword,blade,tripod,leg
sword,blade,typewriter,keyboard
sword,blade,window,pane
sword,blade,womb,cervix
table,tabletop,teapot,spout
table,tabletop,telephone,receiver
table,tabletop,tonne,kilogram
table,tabletop,torso,chest
table,tabletop,tripod,leg
table,tabletop,typewriter,keyboard
table,tabletop,window,pane
table,tabletop,womb,cervix
teapot,spout,telephone,receiver
teapot,spout,tonne,kilogram
teapot,spout,torso,chest
teapot,spout,tripod,leg
teapot,spout,typewriter,keyboard
teapot,spout,window,pane
teapot,spout,womb,cervix
telephone,receiver,tonne,kilogram
telephone,receiver,torso,chest
telephone,receiver,tripod,leg
telephone,receiver,typewriter,keyboard
telephone,receiver,window,pane
telephone,receiver,womb,cervix
tonne,kilogram,torso,chest
tonne,kilogram,tripod,leg
tonne,kilogram,typewriter,keyboard
tonne,kilogram,window,pane
tonne,kilogram,womb,cervix
torso,chest,tripod,leg
torso,chest,typewriter,keyboard
torso,chest,window,pane
torso,chest,womb,cervix
tripod,leg,typewriter,keyboard
tripod,leg,window,pane
tripod,leg,womb,cervix
typewriter,keyboard,window,pane
typewriter,keyboard,womb,cervix
window,pane,womb,cervix
