accept,accepted,achieve,achieved
reduce,reduced,replace,replaced
reduce,reduced,require,required
reduce,reduced,seem,seemed
reduce,reduced,send,sent
reduce,reduced,spend,spent
reduce,reduced,tell,told
reduce,reduced,understand,understood
reduce,reduced,unite,united
refer,referred,relate,related
refer,referred,remain,remained
refer,referred,replace,replaced
refer,referred,require,required
refer,referred,seem,seemed
refer,referred,send,sent
refer,referred,spend,spent
refer,referred,tell,told
refer,referred,understand,understood
refer,referred,unite,united
relate,related,remain,remained
relate,related,replace,replaced
relate,related,require,required
relate,related,seem,seemed
relate,related,send,sent
relate,related,spend,spent
relate,related,tell,told
relate,related,understand,understood
relate,related,unite,united
remain,remained,replace,replaced
remain,remained,require,required
remain,remained,seem,seemed
remain,remained,send,sent
remain,remained,spend,spent
remain,remained,tell,told
remain,remained,understand,understood
remain,remained,unite,united
replace,replaced,require,required
replace,replaced,seem,seemed
replace,replaced,send,sent
replace,replaced,spend,spent
replace,replaced,tell,told
replace,replaced,understand,understood
replace,replaced,unite,united
require,required,seem,seemed
require,required,send,sent
require,required,spend,spent
require,required,tell,told
require,required,understand,understood
require,required,unite,united
seem,seemed,send,sent
seem,seemed,spend,spent
seem,seemed,tell,told
seem,seemed,understand,understood
seem,seemed,unite,united
send,sent,spend,spent
send,sent,tell,told
send,sent,understand,understood
send,sent,unite,united
spend,spent,tell,told
spend,spent,understand,understood
spend,spent,unite,united
tell,told,understand,understood
tell,told,unite,united
understand,understood,unite,united
