adding,added,agreeing,agreed
proposing,proposed,teaching,taught
proposing,proposed,telling,told
proposing,proposed,understanding,understood
proposing,proposed,uniting,united
providing,provided,publishing,published
providing,provided,receiving,received
providing,provided,reducing,reduced
providing,provided,relating,related
providing,provided,remaining,remained
providing,provided,replacing,replaced
providing,provided,representing,represented
providing,provided,requiring,required
providing,provided,sending,sent
providing,provided,spending,spent
providing,provided,suffering,suffered
providing,provided,teaching,taught
providing,provided,telling,told
providing,provided,understanding,understood
providing,provided,uniting,united
publishing,published,receiving,received
publishing,published,reducing,reduced
publishing,published,relating,related
publishing,published,remaining,remained
publishing,published,replacing,replaced
publishing,published,representing,represented
publishing,published,requiring,required
publishing,published,sending,sent
publishing,published,spending,spent
publishing,published,suffering,suffered
publishing,published,teaching,taught
publishing,published,telling,told
publishing,published,understanding,understood
publishing,published,uniting,united
receiving,received,reducing,reduced
receiving,received,relating,related
receiving,received,remaining,remained
receiving,received,replacing,replaced
receiving,received,representing,represented
receiving,received,requiring,required
receiving,received,sending,sent
receiving,received,spending,spent
receiving,received,suffering,suffered
receiving,received,teaching,taught
receiving,received,telling,told
receiving,received,understanding,understood
receiving,received,uniting,united
reducing,reduced,relating,related
reducing,reduced,remaining,remained
reducing,reduced,replacing,replaced
reducing,reduced,representing,represented
reducing,reduced,requiring,required
reducing,reduced,sending,sent
reducing,reduced,spending,spent
reducing,reduced,suffering,suffered
reducing,reduced,teaching,taught
reducing,reduced,telling,told
reducing,reduced,understanding,understood
reducing,reduced,uniting,united
relating,related,remaining,remained
relating,related,replacing,replaced
relating,related,representing,represented
relating,related,requiring,required
relating,related,sending,sent
relating,related,spending,spent
relating,related,suffering,suffered
relating,related,teaching,taught
relating,related,telling,told
relating,related,understanding,understood
relating,related,uniting,united
remaining,remained,replacing,replaced
remaining,remained,representing,represented
remaining,remained,requiring,required
remaining,remained,sending,sent
remaining,remained,spending,spent
remaining,remained,suffering,suffered
remaining,remained,teaching,taught
remaining,remained,telling,told
remaining,remained,understanding,understood
remaining,remained,uniting,united
replacing,replaced,representing,represented
replacing,replaced,requiring,required
replacing,replaced,sending,sent
replacing,replaced,spending,spent
replacing,replaced,suffering,suffered
replacing,replaced,teaching,taught
replacing,replaced,telling,told
replacing,replaced,understanding,understood
replacing,replaced,uniting,united
representing,represented,requiring,required
representing,represented,sending,sent
representing,represented,spending,spent
representing,represented,suffering,suffered
representing,represented,teaching,taught
representing,represented,telling,told
representing,represented,understanding,understood
representing,represented,uniting,united
requiring,required,sending,sent
requiring,required,spending,spent
requiring,required,suffering,suffered
requiring,required,teaching,taught
requiring,required,telling,told
requiring,required,understanding,understood
requiring,required,uniting,united
sending,sent,spending,spent
sending,sent,suffering,suffered
sending,sent,teaching,taught
sending,sent,telling,told
sending,sent,understanding,understood
sending,sent,uniting,united
spending,spent,suffering,suffered
spending,spent,teaching,taught
spending,spent,telling,told
spending,spent,understanding,understood
spending,spent,uniting,united
suffering,suffered,teaching,taught
suffering,suffered,telling,told
suffering,suffered,understanding,understood
suffering,suffered,uniting,united
teaching,taught,telling,told
teaching,taught,understanding,understood
teaching,taught,uniting,united
telling,told,understanding,understood
telling,told,uniting,united
understanding,understood,uniting,united
