adds,added,agrees,agreed
provides,provided,publishes,published
provides,provided,receives,received
provides,provided,refers,referred
provides,provided,relates,related
provides,provided,remains,remained
provides,provided,replaces,replaced
provides,provided,represents,represented
provides,provided,requires,required
provides,provided,seems,seemed
provides,provided,sends,sent
provides,provided,spends,spent
provides,provided,suggests,suggested
provides,provided,tells,told
publishes,published,receives,received
publishes,published,refers,referred
publishes,published,relates,related
publishes,published,remains,remained
publishes,published,replaces,replaced
publishes,published,represents,represented
publishes,published,requires,required
publishes,published,seems,seemed
publishes,published,sends,sent
publishes,published,spends,spent
publishes,published,suggests,suggested
publishes,published,tells,told
receives,received,refers,referred
receives,received,relates,related
receives,received,remains,remained
receives,received,replaces,replaced
receives,received,represents,represented
receives,received,requires,required
receives,received,seems,seemed
receives,received,sends,sent
receives,received,spends,spent
receives,received,suggests,suggested
receives,received,tells,told
refers,referred,relates,related
refers,referred,remains,remained
refers,referred,replaces,replaced
refers,referred,represents,represented
refers,referred,requires,required
refers,referred,seems,seemed
refers,referred,sends,sent
refers,referred,spends,spent
refers,referred,suggests,suggested
refers,referred,tells,told
relates,related,remains,remained
relates,related,replaces,replaced
relates,related,represents,represented
relates,related,requires,required
relates,related,seems,seemed
relates,related,sends,sent
relates,related,spends,spent
relates,related,suggests,suggested
relates,related,tells,told
remains,remained,replaces,replaced
remains,remained,represents,represented
remains,remained,requires,required
remains,remained,seems,seemed
remains,remained,sends,sent
remains,remained,spends,spent
remains,remained,suggests,suggested
remains,remained,tells,told
replaces,replaced,represents,represented
replaces,replaced,requires,required
replaces,replaced,seems,seemed
replaces,replaced,sends,sent
replaces,replaced,spends,spent
replaces,replaced,suggests,suggested
replaces,replaced,tells,told
represents,represented,requires,required
represents,represented,seems,seemed
represents,represented,sends,sent
represents,represented,spends,spent
represents,represented,suggests,suggested
represents,represented,tells,told
requires,required,seems,seemed
requires,required,sends,sent
requires,required,spends,spent
requires,required,suggests,suggested
requires,required,tells,told
seems,seemed,sends,sent
seems,seemed,spends,spent
seems,seemed,suggests,suggested
seems,seemed,tells,told
sends,sent,spends,spent
sends,sent,suggests,suggested
sends,sent,tells,told
spends,spent,suggests,suggested
spends,spent,tells,told
suggests,suggested,tells,told
