able,ablest,angry,angriest
neat,neatest,proud,proudest
neat,neatest,pure,purest
neat,neatest,rare,rarest
neat,neatest,risky,riskiest
neat,neatest,rude,rudest
neat,neatest,sad,saddest
neat,neatest,scary,scariest
neat,neatest,sexy,sexiest
neat,neatest,shiny,shiniest
neat,neatest,strange,strangest
neat,neatest,strict,strictest
neat,neatest,strong,strongest
neat,neatest,subtle,subtlest
neat,neatest,sunny,sunniest
neat,neatest,tasty,tastiest
neat,neatest,tiny,tiniest
neat,neatest,tricky,trickiest
neat,neatest,ugly,ugliest
neat,neatest,vague,vaguest
neat,neatest,weak,weakest
neat,neatest,wealthy,wealthiest
neat,neatest,weird,weirdest
nice,nicest,noisy,noisiest
nice,nicest,proud,proudest
nice,nicest,pure,purest
nice,nicest,rare,rarest
nice,nicest,risky,riskiest
nice,nicest,rude,rudest
nice,nicest,sad,saddest
nice,nicest,scary,scariest
nice,nicest,sexy,sexiest
nice,nicest,shiny,shiniest
nice,nicest,strange,strangest
nice,nicest,strict,strictest
nice,nicest,strong,strongest
nice,nicest,subtle,subtlest
nice,nicest,sunny,sunniest
nice,nicest,tasty,tastiest
nice,nicest,tiny,tiniest
nice,nicest,tricky,trickiest
nice,nicest,ugly,ugliest
nice,nicest,vague,vaguest
nice,nicest,weak,weakest
nice,nicest,wealthy,wealthiest
nice,nicest,weird,weirdest
noisy,noisiest,proud,proudest
noisy,noisiest,pure,purest
noisy,noisiest,rare,rarest
noisy,noisiest,risky,riskiest
noisy,noisiest,rude,rudest
noisy,noisiest,sad,saddest
noisy,noisiest,scary,scariest
noisy,noisiest,sexy,sexiest
noisy,noisiest,shiny,shiniest
noisy,noisiest,strange,strangest
noisy,noisiest,strict,strictest
noisy,noisiest,strong,strongest
noisy,noisiest,subtle,subtlest
noisy,noisiest,sunny,sunniest
noisy,noisiest,tasty,tastiest
noisy,noisiest,tiny,tiniest
noisy,noisiest,tricky,trickiest
noisy,noisiest,ugly,ugliest
noisy,noisiest,vague,vaguest
noisy,noisiest,weak,weakest
noisy,noisiest,wealthy,wealthiest
noisy,noisiest,weird,weirdest
proud,proudest,pure,purest
proud,proudest,rare,rarest
proud,proudest,risky,riskiest
proud,proudest,rude,rudest
proud,proudest,sad,saddest
proud,proudest,scary,scariest
proud,proudest,sexy,sexiest
proud,proudest,shiny,shiniest
proud,proudest,strange,strangest
proud,proudest,strict,strictest
proud,proudest,strong,strongest
proud,proudest,subtle,subtlest
proud,proudest,sunny,sunniest
proud,proudest,tasty,tastiest
proud,proudest,tiny,tiniest
proud,proudest,tricky,trickiest
proud,proudest,ugly,ugliest
proud,proudest,vague,vaguest
proud,proudest,weak,weakest
proud,proudest,wealthy,wealthiest
proud,proudest,weird,weirdest
pure,purest,rare,rarest
pure,purest,risky,riskiest
pure,purest,rude,rudest
pure,purest,sad,saddest
pure,purest,scary,scariest
pure,purest,sexy,sexiest
pure,purest,shiny,shiniest
pure,purest,strange,strangest
pure,purest,strict,strictest
pure,purest,strong,strongest
pure,purest,subtle,subtlest
pure,purest,sunny,sunniest
pure,purest,tasty,tastiest
pure,purest,tiny,tiniest
pure,purest,tricky,trickiest
pure,purest,ugly,ugliest
pure,purest,vague,vaguest
pure,purest,weak,weakest
pure,purest,wealthy,wealthiest
pure,purest,weird,weirdest
rare,rarest,risky,riskiest
rare,rarest,rude,rudest
rare,rarest,sad,saddest
rare,rarest,scary,scariest
rare,rarest,sexy,sexiest
rare,rarest,shiny,shiniest
rare,rarest,strange,strangest
rare,rarest,strict,strictest
rare,rarest,strong,strongest
rare,rarest,subtle,subtlest
rare,rarest,sunny,sunniest
rare,rarest,tasty,tastiest
rare,rarest,tiny,tiniest
rare,rarest,tricky,trickiest
rare,rarest,ugly,ugliest
rare,rarest,vague,vaguest
rare,rarest,weak,weakest
rare,rarest,wealthy,wealthiest
rare,rarest,weird,weirdest
risky,riskiest,rude,rudest
risky,riskiest,sad,saddest
risky,riskiest,scary,scariest
risky,riskiest,sexy,sexiest
risky,riskiest,shiny,shiniest
risky,riskiest,strange,strangest
risky,riskiest,strict,strictest
risky,riskiest,strong,strongest
risky,riskiest,subtle,subtlest
risky,riskiest,sunny,sunniest
risky,riskiest,tasty,tastiest
risky,riskiest,tiny,tiniest
risky,riskiest,tricky,trickiest
risky,riskiest,ugly,ugliest
risky,riskiest,vague,vaguest
risky,riskiest,weak,weakest
risky,riskiest,wealthy,wealthiest
risky,riskiest,weird,weirdest
rude,rudest,sad,saddest
rude,rudest,scary,scariest
rude,rudest,sexy,sexiest
rude,rudest,shiny,shiniest
rude,rudest,strange,strangest
rude,rudest,strict,strictest
rude,rudest,strong,strongest
rude,rudest,subtle,subtlest
rude,rudest,sunny,sunniest
rude,rudest,tasty,tastiest
rude,rudest,tiny,tiniest
rude,rudest,tricky,trickiest
rude,rudest,ugly,ugliest
rude,rudest,vague,vaguest
rude,rudest,weak,weakest
rude,rudest,wealthy,wealthiest
rude,rudest,weird,weirdest
sad,saddest,scary,scariest
sad,saddest,sexy,sexiest
sad,saddest,shiny,shiniest
sad,saddest,strange,strangest
sad,saddest,strict,strictest
sad,saddest,strong,strongest
sad,saddest,subtle,subtlest
sad,saddest,sunny,sunniest
sad,saddest,tasty,tastiest
sad,saddest,tiny,tiniest
sad,saddest,tricky,trickiest
sad,saddest,ugly,ugliest
sad,saddest,vague,vaguest
sad,saddest,weak,weakest
sad,saddest,wealthy,wealthiest
sad,saddest,weird,weirdest
scary,scariest,sexy,sexiest
scary,scariest,shiny,shiniest
scary,scariest,strange,strangest
scary,scariest,strict,strictest
scary,scariest,strong,strongest
scary,scariest,subtle,subtlest
scary,scariest,sunny,sunniest
scary,scariest,tasty,tastiest
scary,scariest,tiny,tiniest
scary,scariest,tricky,trickiest
scary,scariest,ugly,ugliest
scary,scariest,vague,vaguest
scary,scariest,weak,weakest
scary,scariest,wealthy,wealthiest
scary,scariest,weird,weirdest
sexy,sexiest,shiny,shiniest
sexy,sexiest,strange,strangest
sexy,sexiest,strict,strictest
sexy,sexiest,strong,strongest
sexy,sexiest,subtle,subtlest
sexy,sexiest,sunny,sunniest
sexy,sexiest,tasty,tastiest
sexy,sexiest,tiny,tiniest
sexy,sexiest,tricky,trickiest
sexy,sexiest,ugly,ugliest
sexy,sexiest,vague,vaguest
sexy,sexiest,weak,weakest
sexy,sexiest,wealthy,wealthiest
sexy,sexiest,weird,weirdest
shiny,shiniest,strange,strangest
shiny,shiniest,strict,strictest
shiny,shiniest,strong,strongest
shiny,shiniest,subtle,subtlest
shiny,shiniest,sunny,sunniest
shiny,shiniest,tasty,tastiest
shiny,shiniest,tiny,tiniest
shiny,shiniest,tricky,trickiest
shiny,shiniest,ugly,ugliest
shiny,shiniest,vague,vaguest
shiny,shiniest,weak,weakest
shiny,shiniest,wealthy,wealthiest
shiny,shiniest,weird,weirdest
strange,strangest,strict,strictest
strange,strangest,strong,strongest
strange,strangest,subtle,subtlest
strange,strangest,sunny,sunniest
strange,strangest,tasty,tastiest
strange,strangest,tiny,tiniest
strange,strangest,tricky,trickiest
strange,strangest,ugly,ugliest
strange,strangest,vague,vaguest
strange,strangest,weak,weakest
strange,strangest,wealthy,wealthiest
strange,strangest,weird,weirdest
strict,strictest,strong,strongest
strict,strictest,subtle,subtlest
strict,strictest,sunny,sunniest
strict,strictest,tasty,tastiest
strict,strictest,tiny,tiniest
strict,strictest,tricky,trickiest
strict,strictest,ugly,ugliest
strict,strictest,vague,vaguest
strict,strictest,weak,weakest
strict,strictest,wealthy,wealthiest
strict,strictest,weird,weirdest
strong,strongest,subtle,subtlest
strong,strongest,sunny,sunniest
strong,strongest,tasty,tastiest
strong,strongest,tiny,tiniest
strong,strongest,tricky,trickiest
strong,strongest,ugly,ugliest
strong,strongest,vague,vaguest
strong,strongest,weak,weakest
strong,strongest,wealthy,wealthiest
strong,strongest,weird,weirdest
subtle,subtlest,sunny,sunniest
subtle,subtlest,tasty,tastiest
subtle,subtlest,tiny,tiniest
subtle,subtlest,tricky,trickiest
subtle,subtlest,ugly,ugliest
subtle,subtlest,vague,vaguest
subtle,subtlest,weak,weakest
subtle,subtlest,wealthy,wealthiest
subtle,subtlest,weird,weirdest
sunny,sunniest,tasty,tastiest
sunny,sunniest,tiny,tiniest
sunny,sunniest,tricky,trickiest
sunny,sunniest,ugly,ugliest
sunny,sunniest,vague,vaguest
sunny,sunniest,weak,weakest
sunny,sunniest,wealthy,wealthiest
sunny,sunniest,weird,weirdest
tasty,tastiest,tiny,tiniest
tasty,tastiest,tricky,trickiest
tasty,tastiest,ugly,ugliest
tasty,tastiest,vague,vaguest
tasty,tastiest,weak,weakest
tasty,tastiest,wealthy,wealthiest
tasty,tastiest,weird,weirdest
tiny,tiniest,tricky,trickiest
tiny,tiniest,ugly,ugliest
tiny,tiniest,vague,vaguest
tiny,tiniest,weak,weakest
tiny,tiniest,wealthy,wealthiest
tiny,tiniest,weird,weirdest
tricky,trickiest,ugly,ugliest
tricky,trickiest,vague,vaguest
tricky,trickiest,weak,weakest
tricky,trickiest,wealthy,wealthiest
tricky,trickiest,weird,weirdest
ugly,ugliest,vague,vaguest
ugly,ugliest,weak,weakest
ugly,ugliest,wealthy,wealthiest
ugly,ugliest,weird,weirdest
vague,vaguest,weak,weakest
vague,vaguest,wealthy,wealthiest
vague,vaguest,weird,weirdest
weak,weakest,wealthy,wealthiest
weak,weakest,weird,weirdest
wealthy,wealthiest,weird,weirdest
